dataset,protocol,seed,leakage_condition,precision,recall,f1,auprc,fpr,n_test,split_window,n_windows
scadanet,T1_previous_temporal,7,future test topology possible,0.8691574998946348,0.4949004079673626,0.630686422924599,0.7712185721714029,0.08051924473493101,160452,14,20
scadanet,T2_strict_causal_topology,7,none identified,0.8691364268554811,0.4948884089272858,0.6306711317032891,0.6854392140494596,0.08053221288515407,160452,14,20
scadanet,T3_fixed_training_topology,7,none identified (no topology update),0.8700348064550153,0.4948884089272858,0.6309074916822823,0.6744198221521914,0.0798967735242245,160452,14,20
