Condition,Content features,True topology,Message passing,F1,AUPRC,FPR,ΔF1
Content only,✓,✗,✗,0.9839294567209408,0.9974959868704236,0.1401137980085348,-0.0006098686213151794
Topology only,✗,✓,✓,0.9799799743806322,0.9728852195285368,0.1384542437174016,-0.004559350961623743
Full GraphSAGE,✓,✓,✓,0.984539325342256,0.9984554473085556,0.1397581792318634,0.0
Random topology,✓,✗ random,✓,0.9851648259752136,0.9984296531894908,0.1290303461356093,0.0006255006329576318
Degree-preserved rewiring,✓,✗ rewired,✓,0.9852613969050606,0.9986012063695324,0.1271337126600284,0.0007220715628046825
No message passing,✓,partial,✗,0.9856206527554844,0.9985985999665914,0.1282005689900426,0.0010813274132284167
