Condition,Content features,True topology,Message passing,F1,AUPRC,FPR,ΔF1
Content only,✓,✗,✗,0.659414968261701,0.7814908954473668,0.1147162568731196,0.09272404469581241
Topology only,✗,✓,✓,0.7251912618674533,0.8978137499085697,0.7127814088598402,0.15850033830156474
Full GraphSAGE,✓,✓,✓,0.5666909235658886,0.681890082024877,0.4134635335615728,0.0
Random topology,✓,✗ random,✓,0.6077437182275519,0.7785328494055034,0.2848324514991182,0.04105279466166334
Degree-preserved rewiring,✓,✗ rewired,✓,0.6370692932434768,0.775333596345074,0.1977772590517688,0.07037836967758826
No message passing,✓,partial,✗,0.6022204630653382,0.7755102800386715,0.3045699761386036,0.03552953949944959
