dataset,split_protocol,seed,conv_type,removed_or_permuted_feature,columns_found,precision,recall,f1,auprc,fpr,delta_f1,delta_auprc,delta_fpr
scadanet,track_b,42,graphsage,none,None,0.9739810530953955,0.9952610902869236,0.9845060934533651,0.9984517859723048,0.13999525841631105,0.0,-8.937067541570087e-08,0.0
scadanet,track_b,42,graphsage,Protocol_TCP,['Protocol_TCP'],0.9547344608424001,0.9976249169846576,0.9757085688807667,0.9896621778539794,0.24905168326220958,-0.008797524572598414,-0.008789697489000825,0.10905642484589853
scadanet,track_b,42,graphsage,Tcp_flags_reset_Set,['Tcp_flags_reset_Set'],0.9739909227108486,0.9952273213340987,0.9844946134788296,0.9984914256687868,0.13993598862019915,-1.147997453554428e-05,3.9550325806603226e-05,-5.926979611189931e-05
scadanet,track_b,42,graphsage,frame_len,['frame_len'],0.9893835780211372,0.9315278199889688,0.959584422812683,0.9984024908651413,0.05263157894736842,-0.02492167064068218,-4.938447783886524e-05,-0.08736367946894263
scadanet,track_b,42,graphsage,top-3 jointly,"['frame_len', 'Protocol_TCP', 'Tcp_flags_reset_Set']",0.9560566448801743,0.9879219712063395,0.9717281428705872,0.993110350159806,0.23909435751541014,-0.012777950582777975,-0.005341525183174212,0.09909909909909909
scadanet,track_b,42,graphsage,all content shuffled,None,0.952031309118426,0.9063474374992965,0.928627858028429,0.9632204997046172,0.24045756282598388,-0.055878235424936196,-0.03523137563836298,0.10046230440967283
