Removed/permuted feature,F1,AUPRC,FPR,ΔF1,ΔAUPRC,ΔFPR
none,0.9845060934533651,0.9984517859723048,0.139995258416311,0.0,-8.937067541570087e-08,0.0
Protocol_TCP,0.9757085688807668,0.9896621778539794,0.2490516832622095,-0.0087975245725984,-0.0087896974890008,0.1090564248458985
Tcp_flags_reset_Set,0.9844946134788296,0.9984914256687868,0.1399359886201991,-1.147997453554428e-05,3.9550325806603226e-05,-5.926979611189931e-05
frame_len,0.959584422812683,0.9984024908651412,0.0526315789473684,-0.0249216706406821,-4.938447783886524e-05,-0.0873636794689426
top-3 jointly,0.9717281428705872,0.993110350159806,0.2390943575154101,-0.0127779505827779,-0.0053415251831742,0.099099099099099
all content shuffled,0.928627858028429,0.9632204997046172,0.2404575628259838,-0.0558782354249361,-0.0352313756383629,0.1004623044096728
