dataset,split_protocol,condition,conv_type,seed,precision,recall,f1,auprc,auroc,fpr,delta_f1_vs_full,delta_auprc_vs_full,delta_fpr_vs_full,n_trainable_params,train_runtime_s,threshold
scadanet,track_b,A_content_only,graphsage,1,0.9747289637334214,0.9943187559647448,0.9844264117385506,0.9979458813529131,0.991110727147281,0.13793103448275862,,,,8322,2367.0073038970004,0.9000000000000001
scadanet,track_b,B_topology_only,graphsage,1,0.9749988903191442,0.9865042384775164,0.980717821644036,0.9734242940320122,0.9224883080023439,0.13534783131082542,,,,21442,724.409940866999,0.9500000000000001
scadanet,track_b,C_full_model,graphsage,1,0.9733881128457956,0.9975411216527256,0.985316624154375,0.9984261775493839,0.9920920414339098,0.14592094196804037,,,,35714,758.1032758540023,0.8500000000000001
scadanet,track_b,D_random_topology,graphsage,1,0.9759123765867419,0.9943973502498176,0.9850681526218321,0.9981570894651428,0.9919321703705725,0.13132284032199928,,,,12738,758.660870816002,0.9000000000000001
scadanet,track_b,E_degree_preserving_rewiring,graphsage,1,0.9771576683394916,0.9947117273901084,0.9858565626217104,0.9986625521038297,0.9930137624851189,0.12441427369938723,,,,12738,759.0636100849988,0.8500000000000001
