dataset,split_protocol,condition,conv_type,seed,precision,recall,f1,auprc,auroc,fpr,delta_f1_vs_full,delta_auprc_vs_full,delta_fpr_vs_full,n_trainable_params,train_runtime_s,threshold
scadanet,track_b,A_content_only,graphsage,42,0.9739308793365827,0.9941354585260977,0.9839294567209407,0.9974959868704236,0.9904199146733763,0.14011379800853485,,,,18690,2436.026123659,0.9000000000000001
scadanet,track_b,B_topology_only,graphsage,42,0.9740248187519459,0.9860083972129358,0.9799799743806322,0.9728852195285367,0.9246379698858118,0.13845424371740161,,,,5602,728.2959048749999,0.9500000000000001
scadanet,track_b,C_full_model,graphsage,42,0.9740245433915706,0.99528360292214,0.984539325342256,0.9984554473085556,0.9920739855793494,0.13975817923186346,,,,35714,761.4635165700001,0.9000000000000001
scadanet,track_b,D_random_topology,graphsage,42,0.9759532540979985,0.9945519422776034,0.9851648259752135,0.9984296531894907,0.9926270012180896,0.1290303461356093,,,,35714,761.8452579020004,0.9000000000000001
scadanet,track_b,E_degree_preserving_rewiring,graphsage,42,0.9762946754194018,0.9943943538310877,0.9852613969050606,0.9986012063695325,0.9928059984841812,0.12713371266002846,,,,12738,760.9931025420001,0.8500000000000001
scadanet,track_b,F_no_message_passing,graphsage,42,0.9761218744825302,0.9953061155573566,0.9856206527554843,0.9985985999665914,0.9929710234257312,0.12820056899004267,,,,437378,762.3651020650013,0.8
