dataset,split_protocol,condition,conv_type,seed,precision,recall,f1,auprc,auroc,fpr,delta_f1_vs_full,delta_auprc_vs_full,delta_fpr_vs_full,n_trainable_params,train_runtime_s,threshold
scadanet,temporal_strict,A_content_only,graphsage,42,0.8367625620490488,0.5440964722822175,0.659414968261701,0.7814908954473668,0.7953742440878617,0.11471625687311962,,,,18690,2057.8535236179996,0.1
scadanet,temporal_strict,B_topology_only,graphsage,42,0.588715953307393,0.9440364770818335,0.7251912618674533,0.8978137499085697,0.9102652647576553,0.7127814088598402,,,,5602,713.3266863850004,0.05
scadanet,temporal_strict,C_full_model,graphsage,42,0.5882823900102016,0.5466282697384209,0.5666909235658886,0.681890082024877,0.7291017098339572,0.4134635335615728,,,,12738,729.1043296959997,0.05
scadanet,temporal_strict,D_random_topology,graphsage,42,0.6766719170923438,0.5515598752099832,0.6077437182275519,0.7785328494055034,0.7582454745823883,0.2848324514991182,,,,12738,729.9407756290002,0.15000000000000002
scadanet,temporal_strict,E_degree_preserving_rewiring,graphsage,42,0.751349148120975,0.5529637628989681,0.6370692932434768,0.775333596345074,0.7845409260349742,0.19777725905176885,,,,35714,729.5068062739992,0.05
scadanet,temporal_strict,F_no_message_passing,graphsage,42,0.6621254189984319,0.5522558195344373,0.6022204630653382,0.7755102800386715,0.6939636293460046,0.3045699761386036,,,,215618,728.3286328930008,0.1
