Dataset,Protocol,Model,Precision,Recall,F1,AUPRC,FPR
scadanet,track_b,Logistic Regression,0.9760668650838052,0.9819448665563548,0.9789970428644376,0.994546493421465,0.126778093883357
scadanet,track_b,Tree model,0.9765982365810002,0.9949234007586758,0.9856756530708968,0.9987464910189628,0.1255334281650071
scadanet,track_b,MLP,0.9739308793365828,0.9941354585260976,0.9839294567209408,0.9974959868704236,0.1401137980085348
scadanet,track_b,GCN,0.9747792773949228,0.9967131552583888,0.9856242034317136,0.9984745331158856,0.135787102892366
scadanet,track_b,GraphSAGE,0.9740030843798192,0.99528360292214,0.9845283628123972,0.9984523862329444,0.1398767188240872
scadanet,track_b,GAT,0.9739093996735918,0.9941354585260976,0.9839184951231876,0.99783375020379,0.1402323376007586
