dataset,split_protocol,model,model_family,seed,precision,recall,f1,auprc,auroc,fpr,n_trainable_params,inference_latency_ms_mean,train_runtime_s,threshold
scadanet,track_b,logistic_regression,logistic_regression,7,0.9762738016704496,0.9819942417562644,0.9791256665152814,0.9933940030798659,0.9863032576641975,0.12634712712116702,225,134.61620030000176,74.15119025400003,0.45
scadanet,track_b,mlp,mlp,7,0.9744383942152951,0.9942305096945432,0.9842349614224163,0.9983796952532863,0.9916530516989579,0.13807680857398036,8322,50.10028820001935,2437.929665094,0.9000000000000001
scadanet,track_b,tree_xgboost,tree,7,0.9773450271727124,0.9951077421386477,0.9861464045294459,0.9987464108083994,0.9936144407482957,0.12211967847573682,,523.9099653999801,87.77663368000003,0.8500000000000001
scadanet,track_b,graphsage_edge_attr,graphsage,7,0.972342804525125,0.9975819874938144,0.9848007105584545,0.9981713051790021,0.9915730035102021,0.15022328073831498,35714,600.0997359000394,774.7515782659998,0.8500000000000001
scadanet,track_b,gcn_edge_attr,gcn,7,0.9749027109029748,0.9973795492374826,0.986013053001412,0.9982093420284099,0.9924661100573315,0.1359333134861566,11586,574.7992138998598,780.0158437469995,0.9000000000000001
scadanet,track_b,gat_edge_attr,gat,7,0.9744466002292971,0.9941292905663772,0.9841895472866145,0.998371641379472,0.9916261031230965,0.13801726704376302,45442,610.0852954000402,786.7125496130002,0.9000000000000001
scadanet,track_b,logistic_regression,logistic_regression,123,0.975733199262611,0.9818322859166488,0.978773241283468,0.9948077514804473,0.9871590088231947,0.1295788092113113,225,79.39905259972875,76.31745913099985,0.45
scadanet,track_b,mlp,mlp,123,0.9737181252409539,0.9938166814691565,0.9836647490179933,0.9977785878888892,0.9904114118346499,0.1423457821262379,18690,101.43259749984281,2444.8155184379993,0.9000000000000001
scadanet,track_b,tree_xgboost,tree,123,0.9770546470412862,0.9947835276394338,0.9858393867819422,0.9987543329140242,0.9935623438599057,0.12397088652905382,,266.6036468997845,90.07300451899937,0.8500000000000001
scadanet,track_b,graphsage_edge_attr,graphsage,123,0.9716645308272818,0.9973355518330729,0.9843326971727842,0.9980897913218788,0.9910164006348493,0.1543371912659587,35714,582.903392100161,774.5432077590012,0.9000000000000001
scadanet,track_b,gcn_edge_attr,gcn,123,0.9750129224542765,0.9966947351853309,0.9857346171807245,0.9985115220354607,0.9928937612674903,0.13554468440520223,31362,605.2752130999579,778.3351889980004,0.8
scadanet,track_b,gat_edge_attr,gat,123,0.9734190735214773,0.9938616510584717,0.9835341499504912,0.9965853535368061,0.9894289643396939,0.1440162271805274,15554,561.235585400209,784.9203660719995,0.9000000000000001
