dataset,split_protocol,model,model_family,seed,precision,recall,f1,auprc,auroc,fpr,n_trainable_params,inference_latency_ms_mean,train_runtime_s,threshold
batadal,temporal_purged,mlp_flattened_window,mlp,7,0.0,0.0,0.0,0.05670129749987257,0.06495859213250516,0.02717391304347826,6658,0.4873591997238691,2.212207410000701,0.6000000000000001
batadal,temporal_purged,graphsage_window_classifier,graphsage,7,0.6774193548387096,1.0,0.8076923076923077,0.9648098853067797,0.9953416149068323,0.05434782608695652,2434,22.732915499909723,113.98733854999955,0.55
batadal,temporal_purged,gcn_window_classifier,gcn,7,0.6363636363636364,1.0,0.7777777777777778,0.9663971868940813,0.995600414078675,0.06521739130434782,1282,26.168146100098966,116.10002067999994,0.6000000000000001
batadal,temporal_purged,mlp_flattened_window,mlp,123,0.0,0.0,0.0,0.05622129144481162,0.04891304347826087,0.02717391304347826,6658,0.21629050024785101,1.6828714570001466,0.6000000000000001
batadal,temporal_purged,graphsage_window_classifier,graphsage,123,0.6363636363636364,1.0,0.7777777777777778,0.8468070729975492,0.9886128364389234,0.06521739130434782,2434,23.925854299523053,113.65222138199897,0.9500000000000001
batadal,temporal_purged,gcn_window_classifier,gcn,123,0.65625,1.0,0.7924528301886793,0.9195080052222909,0.992883022774327,0.059782608695652176,1282,26.26977340078156,114.51210384200022,0.9000000000000001
