Dataset,Model,Precision,Recall,F1,AUPRC,FPR,ΔF1 vs static
scadanet,GCN,0.8241961380825622,0.9362251019918406,0.8766459934384971,0.9324688970064248,0.2158289241622575,-0.1089782099932165
scadanet,GraphSAGE,0.5879052127810529,0.54685625149988,0.5666382777677622,0.682461062392704,0.414280527025625,-0.417890085044635
scadanet,MLP,0.8367625620490488,0.5440964722822175,0.659414968261701,0.7814908954473668,0.1147162568731196,-0.3245144884592398
scadanet,Tree model,0.8344108698658553,0.5791816654667626,0.6837549933422103,0.8336608643368458,0.1242219109866168,-0.3019206597286864
