dataset,split_protocol,model,model_family,seed,precision,recall,f1,auprc,auroc,fpr,n_trainable_params,inference_latency_ms_mean,train_runtime_s,threshold
scadanet,temporal_strict,mlp,mlp,7,0.8376265799393895,0.5439044876409888,0.6595419625189152,0.761083553611788,0.7899067841146005,0.11395113600995954,18690,130.38612789996478,2052.403621859,0.1
scadanet,temporal_strict,tree_xgboost,tree,7,0.8395825811886465,0.5859851211903048,0.6902273385768902,0.9014085328072843,0.9175712004353066,0.12100580973129993,,748.8108827998985,86.79134546400019,0.05
scadanet,temporal_strict,graphsage_edge_attr,graphsage,7,0.5818498818713598,0.5526037916966643,0.5668498562997335,0.668733626051595,0.7153656480435191,0.4292068679323581,12738,133.08519609981886,726.8454853480007,0.05
scadanet,temporal_strict,gcn_edge_attr,gcn,7,0.8453780057572019,0.9373410127189825,0.8889875160743347,0.9583674947346317,0.958597439655808,0.1852889303869696,31362,142.2197152996887,731.3270402469989,0.05
scadanet,temporal_strict,mlp,mlp,123,0.8345597704109791,0.5443364530837533,0.6589057212159944,0.7406556874488173,0.78570183798617,0.11662257495590829,18690,195.12791499946616,2049.816838102999,0.1
scadanet,temporal_strict,tree_xgboost,tree,123,0.8348708809448929,0.5733501319894408,0.6798269950346436,0.8377283888519442,0.8857290028686906,0.12256198775806619,,855.1872578002076,86.44590388199867,0.05
scadanet,temporal_strict,graphsage_edge_attr,graphsage,123,0.5856646952944201,0.5465922726181905,0.5654543197616683,0.7554712376179963,0.7497602932972958,0.41792457723830273,12738,150.44920680047653,721.3702157460029,0.05
scadanet,temporal_strict,gcn_edge_attr,gcn,123,0.8336462956640491,0.9375569954403647,0.8825535952289516,0.94175680728449,0.9373830265536429,0.20219939827782965,11586,137.59670110084699,728.5970433350012,0.05
