Condition,Precision,Recall,F1,AUPRC,Normal FPR,Total FP
"Original, threshold 0.50",0.9507583049904812,0.9997525754644834,0.9746401043779536,0.9983808513016792,0.2741292051205716,4604
Original + calibrated threshold,0.9741325199044149,0.9948715641729272,0.984392822367506,0.9983808513016792,0.1398630544805001,2349
Host-normalized,0.9536555275438502,0.9997638220342796,0.9761655072447852,0.997728688527334,0.2572194105388508,4320
Host-normalized + calibrated threshold,0.9763594424271856,0.9949277970219084,0.985556168290414,0.997728688527334,0.1275379577255135,2142
