condition,note,threshold,precision,recall,f1,auprc,fpr,total_fp,top_1_fp_share,top_2_fp_share,top_5_fp_share,protocol,seed
H1_original_default_threshold,reference,0.5,0.8698888678011851,0.49497240220782335,0.6309373589984782,0.6760976187855989,0.08001348687623197,6170,0.21912479740680713,0.40372771474878444,0.7711507293354943,temporal_causal,7
H2_original_calibrated_threshold,existing mitigation (threshold only),0.05,0.6100726196880043,0.5443364530837533,0.5753329105897272,0.6760976187855989,0.37601151571739805,28995,0.20289705121572685,0.31398516985687186,0.521227797896189,temporal_causal,7
H3_host_normalized_default_threshold,feature-level fix alone,0.5,0.8697294559574558,0.4945164386849052,0.6305249147070973,0.8193398289826861,0.08005239132690113,6173,0.21723635185485177,0.40077757978292566,0.7634861493601166,temporal_causal,7
H4_host_normalized_calibrated_threshold,combined mitigation,0.05,0.8473407625507808,0.5455963522918167,0.6637859301324069,0.8193398289826861,0.10623508662724349,8192,0.1661376953125,0.306884765625,0.6558837890625,temporal_causal,7
