Condition,Precision,Recall,F1,AUPRC,Normal FPR,Total FP
"Original, threshold 0.50",0.8698888678011851,0.4949724022078233,0.6309373589984782,0.6760976187855989,0.0800134868762319,6170
Original + calibrated threshold,0.6100726196880043,0.5443364530837533,0.5753329105897272,0.6760976187855989,0.376011515717398,28995
Host-normalized,0.8697294559574558,0.4945164386849052,0.6305249147070973,0.8193398289826861,0.0800523913269011,6173
Host-normalized + calibrated threshold,0.8473407625507808,0.5455963522918167,0.6637859301324069,0.8193398289826861,0.1062350866272434,8192
