condition,note,threshold,precision,recall,f1,auprc,fpr,total_fp,top_1_fp_share,top_2_fp_share,top_5_fp_share,protocol,seed
H1_original_default_threshold,reference,0.5,0.9507583049904811,0.9997525754644834,0.9746401043779535,0.9983808513016791,0.2741292051205716,4604,0.49934839270199827,0.9463509991311903,0.9986967854039965,track_b,7
H2_original_calibrated_threshold,existing mitigation (threshold only),0.9000000000000001,0.9741325199044147,0.9948715641729272,0.9843928223675059,0.9983808513016791,0.13986305448050015,2349,0.9012345679012346,0.9561515538527032,0.9995742869306088,track_b,7
H3_host_normalized_default_threshold,feature-level fix alone,0.5,0.9536555275438502,0.9997638220342795,0.9761655072447852,0.9977286885273341,0.25721941053885083,4320,0.5303240740740741,0.9983796296296297,0.9997685185185186,track_b,7
H4_host_normalized_calibrated_threshold,combined mitigation,0.8500000000000001,0.9763594424271855,0.9949277970219084,0.985556168290414,0.9977286885273341,0.12753795772551355,2142,0.9943977591036415,0.9985994397759104,1.0,track_b,7
